-------------------------------------------------------------------------------------------------------
IN Distance, Left, Right, Wall, Shoot, OUT Distance, Left, Right, Wall, Shoot ,ChoiceMode, Error  
0.476373, 0.000000, 0.000000, 0.000000, 1.000000, 0.070910, 0.016634, 0.018507, 0.005599, 0.664717, ATTACK, 0.000000%  
0.483871, 0.000000, 0.000000, 0.000000, 1.000000, 0.071964, 0.017266, 0.019258, 0.005535, 0.669691, ATTACK, 0.000000%  
0.491368, 0.000000, 0.000000, 0.000000, 1.000000, 0.073029, 0.017915, 0.020033, 0.005472, 0.674585, ATTACK, 0.000000%  
0.496560, 0.000000, 0.000000, 0.000000, 1.000000, 0.073773, 0.018375, 0.020583, 0.005428, 0.677927, ATTACK, 0.000000%  
0.503742, 0.000000, 0.000000, 0.000000, 1.000000, 0.074811, 0.019027, 0.021364, 0.005369, 0.682487, ATTACK, 0.000000%  
0.511209, 0.000000, 0.000000, 0.000000, 0.000000, 0.494066, 0.018918, 0.012959, 0.023149, 0.055162, SEARCH, 0.000000%  
0.504052, 1.000000, 0.000000, 0.000000, 0.000000, 0.052530, 0.802480, 0.001130, 0.030255, 0.003003, SEARCH, 0.000000%  
0.504671, 1.000000, 0.000000, 0.000000, 0.000000, 0.052586, 0.802969, 0.001134, 0.030233, 0.003010, SEARCH, 0.000000%  
0.505338, 0.000000, 0.000000, 0.000000, 0.000000, 0.490730, 0.018352, 0.012533, 0.023367, 0.054168, SEARCH, 0.000000%  
0.497864, 0.000000, 0.000000, 0.000000, 0.000000, 0.486469, 0.017651, 0.012009, 0.023648, 0.052921, SEARCH, 0.000000%  
0.490390, 0.000000, 0.000000, 0.000000, 0.000000, 0.482192, 0.016972, 0.011503, 0.023933, 0.051694, SEARCH, 0.000000%  
0.482918, 0.000000, 0.000000, 0.000000, 0.000000, 0.477901, 0.016314, 0.011015, 0.024221, 0.050486, SEARCH, 0.000000%  
0.474540, 0.000000, 0.000000, 0.000000, 1.000000, 0.070654, 0.016483, 0.018327, 0.005614, 0.663489, ATTACK, 0.000000%  
0.479584, 0.000000, 0.000000, 0.000000, 1.000000, 0.071360, 0.016902, 0.018825, 0.005571, 0.666857, ATTACK, 0.000000%  
0.486839, 0.000000, 0.000000, 0.000000, 1.000000, 0.072385, 0.017520, 0.019562, 0.005510, 0.671638, ATTACK, 0.000000%  
0.494417, 0.000000, 0.000000, 0.000000, 1.000000, 0.073465, 0.018184, 0.020354, 0.005446, 0.676552, ATTACK, 0.000000%  
0.502305, 0.000000, 0.000000, 0.000000, 1.000000, 0.074602, 0.018895, 0.021206, 0.005381, 0.681580, ATTACK, 0.000000%  
0.510488, 0.000000, 0.000000, 0.000000, 1.000000, 0.075794, 0.019654, 0.022118, 0.005315, 0.686704, ATTACK, 0.000000%  
0.518952, 0.000000, 0.000000, 0.000000, 0.000000, 0.498449, 0.019686, 0.013538, 0.022865, 0.056489, SEARCH, 0.000000%  
0.512780, 0.000000, 1.000000, 0.000000, 0.000000, 0.050488, 0.001402, 0.844740, 0.030116, 0.001914, SEARCH, 0.000000%  
0.513541, 0.000000, 0.000000, 0.000000, 0.000000, 0.495387, 0.019147, 0.013131, 0.023063, 0.055559, SEARCH, 0.000000%  
0.506069, 0.000000, 0.000000, 0.000000, 0.000000, 0.491146, 0.018422, 0.012586, 0.023340, 0.054292, SEARCH, 0.000000%  
0.498599, 0.000000, 0.000000, 0.000000, 0.000000, 0.486888, 0.017719, 0.012060, 0.023620, 0.053043, SEARCH, 0.000000%  
0.491129, 0.000000, 0.000000, 0.000000, 0.000000, 0.482615, 0.017039, 0.011552, 0.023904, 0.051814, SEARCH, 0.000000%  
0.482868, 0.000000, 0.000000, 0.000000, 1.000000, 0.071823, 0.017180, 0.019156, 0.005543, 0.669030, ATTACK, 0.000000%  
0.487140, 0.000000, 0.000000, 0.000000, 1.000000, 0.072427, 0.017546, 0.019593, 0.005507, 0.671834, ATTACK, 0.000000%  
0.493619, 0.000000, 0.000000, 0.000000, 1.000000, 0.073351, 0.018113, 0.020270, 0.005453, 0.676038, ATTACK, 0.000000%  
0.501116, 0.000000, 0.000000, 0.000000, 1.000000, 0.074430, 0.018787, 0.021076, 0.005391, 0.680828, ATTACK, 0.000000%  
0.508614, 0.000000, 0.000000, 0.000000, 1.000000, 0.075520, 0.019478, 0.021907, 0.005330, 0.685539, ATTACK, 0.000000%  
0.516111, 0.000000, 0.000000, 0.000000, 1.000000, 0.076620, 0.020189, 0.022762, 0.005270, 0.690170, ATTACK, 0.000000%  
0.523609, 0.000000, 0.000000, 0.000000, 1.000000, 0.077732, 0.020918, 0.023643, 0.005210, 0.694723, ATTACK, 0.000000%  
0.531107, 0.000000, 0.000000, 0.000000, 1.000000, 0.078854, 0.021667, 0.024549, 0.005152, 0.699197, ATTACK, 0.000000%  
0.536730, 0.000000, 0.000000, 0.000000, 1.000000, 0.079703, 0.022241, 0.025246, 0.005108, 0.702501, ATTACK, 0.000000%  
0.544228, 0.000000, 0.000000, 0.000000, 1.000000, 0.080844, 0.023023, 0.026198, 0.005051, 0.706839, ATTACK, 0.000000%  
0.551726, 0.000000, 0.000000, 0.000000, 1.000000, 0.081995, 0.023825, 0.027176, 0.004995, 0.711101, ATTACK, 0.000000%  
0.559223, 0.000000, 0.000000, 0.000000, 1.000000, 0.083158, 0.024647, 0.028181, 0.004939, 0.715286, ATTACK, 0.000000%  
0.566721, 0.000000, 0.000000, 0.000000, 1.000000, 0.084331, 0.025488, 0.029213, 0.004885, 0.719395, ATTACK, 0.000000%  
0.573691, 0.000000, 0.000000, 0.000000, 1.000000, 0.085431, 0.026288, 0.030197, 0.004834, 0.723148, ATTACK, 0.000000%  
0.580723, 0.000000, 0.000000, 0.000000, 1.000000, 0.086551, 0.027113, 0.031213, 0.004784, 0.726869, ATTACK, 0.000000%  
0.588019, 0.000000, 0.000000, 0.000000, 1.000000, 0.087722, 0.027987, 0.032294, 0.004733, 0.730662, ATTACK, 0.000000%  
0.593698, 0.000000, 0.000000, 0.000000, 0.000000, 0.539659, 0.028404, 0.020285, 0.020325, 0.070325, SEARCH, 0.000000%  
0.586541, 0.000000, 0.000000, 0.000000, 0.000000, 0.535809, 0.027461, 0.019542, 0.020553, 0.068923, SEARCH, 0.000000%  
0.579065, 0.000000, 0.000000, 0.000000, 0.000000, 0.531763, 0.026502, 0.018789, 0.020795, 0.067475, SEARCH, 0.000000%  
